stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline,within-class,rhythm,10,matched-C10,0.3468225080009926,0.8039869841361085,,0.1,1147,
baseline,within-class,role,10,full-pool,0.1543156059285091,0.3888404533565824,0.2754399100899254,0.007846556233653,1147,
baseline,within-class,role,10,matched-C10,0.5113917722271836,0.9241806845483762,,0.1,1147,
baseline,within-class,both,10,full-pool,0.1848299912816041,0.4123801220575414,0.3016699802811082,0.007846556233653,1147,
baseline,within-class,both,10,matched-C10,0.5254812220626648,0.9162354053073296,,0.1,1147,
baseline,within-class,cardseq,20,full-pool,0.2174381054897739,0.4790096878363832,0.3432316133132655,0.0096878363832076,929,
baseline,within-class,cardseq,20,matched-C10,0.5561953445721446,0.9325905717890236,,0.1,929,
baseline,within-class,rhythm,20,full-pool,0.1636167922497308,0.3616792249730893,0.2747541964804962,0.0096878363832076,929,
baseline,within-class,rhythm,20,matched-C10,0.4659206106455553,0.8924410833586691,,0.1,929,
baseline,within-class,role,20,full-pool,0.2680301399354144,0.5597416576964478,0.4104737191957585,0.0096878363832076,929,
baseline,within-class,role,20,matched-C10,0.6394477997902295,0.9643363194780172,,0.1,929,
baseline,within-class,both,20,full-pool,0.3240043057050592,0.6329386437029063,0.4625265025340926,0.0096878363832076,929,
baseline,within-class,both,20,matched-C10,0.6770135293516389,0.9667279123019792,,0.1,929,
baseline,within-class,cardseq,30,full-pool,0.3078880407124681,0.6374045801526718,0.4561393806904333,0.0114503816793894,786,
baseline,within-class,cardseq,30,matched-C10,0.6543436808024334,0.9602019968403324,,0.1,786,
baseline,within-class,rhythm,30,full-pool,0.2162849872773536,0.5025445292620865,0.3534412771326279,0.0114503816793894,786,
baseline,within-class,rhythm,30,matched-C10,0.5425765033802294,0.9286298506410278,,0.1,786,
baseline,within-class,role,30,full-pool,0.4262086513994911,0.7391857506361323,0.5637615285524842,0.0114503816793894,786,
baseline,within-class,role,30,matched-C10,0.7476139771169222,0.9839392503346271,,0.1,786,
baseline,within-class,both,30,full-pool,0.4618320610687023,0.7709923664122137,0.597433289599162,0.0114503816793894,786,
baseline,within-class,both,30,matched-C10,0.7692298954816494,0.982174199111284,,0.1,786,
baseline,within-class,cardseq,50,full-pool,0.4948805460750853,0.7901023890784983,0.6246615674879508,0.015358361774744,586,
baseline,within-class,cardseq,50,matched-C10,0.7574708453679059,0.9765153521634388,,0.1,586,
baseline,within-class,rhythm,50,full-pool,0.3515358361774744,0.6484641638225256,0.4946046164763154,0.015358361774744,586,
baseline,within-class,rhythm,50,matched-C10,0.6365601265635464,0.953491888485606,,0.1,586,
baseline,within-class,role,50,full-pool,0.5784982935153583,0.8600682593856656,0.7012920253134353,0.015358361774744,586,
baseline,within-class,role,50,matched-C10,0.8255853482134082,0.9919870938913256,,0.1,586,
baseline,within-class,both,50,full-pool,0.6757679180887372,0.8976109215017065,0.7697799135603914,0.015358361774744,586,
baseline,within-class,both,50,matched-C10,0.8641735957533976,0.9894541707851452,,0.1,586,
baseline,within-archetype,cardseq,1,full-pool,0.0335976627712854,0.112270450751252,0.0929152498479835,0.0102253756260435,4792,
baseline,within-archetype,cardseq,1,matched-C10,0.1723002886543482,0.6012048086139303,,0.1,4792,
baseline,within-archetype,rhythm,1,full-pool,0.0275459098497495,0.1016277128547579,0.0840381199259023,0.0102253756260435,4792,
